gene_symbol,protein_name,source_databases,GeneCards_raw_names,OMIM_raw_names,TTD_raw_names,GeneCards_present,OMIM_present,TTD_present,normalization_status,normalization_note,species,GeneCards_filter,source_record,source_url
ABCA1,ATP binding cassette subfamily A member 1,GeneCards,ABCA1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCB1,ATP binding cassette subfamily B member 1,GeneCards,ABCB1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCB11,ATP binding cassette subfamily B member 11,GeneCards,ABCB11,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),GeneCards,ABCC1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCC2,ATP binding cassette subfamily C member 2,GeneCards,ABCC2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCC3,ATP binding cassette subfamily C member 3,GeneCards,ABCC3,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),GeneCards,ABCC4,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCE1,ATP binding cassette subfamily E member 1,GeneCards,ABCE1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCF3,ATP binding cassette subfamily F member 3,GeneCards,ABCF3,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),GeneCards,ABCG2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABI1,abl interactor 1,GeneCards,ABI1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",GeneCards;TTD,ABL1,,Bcr-Abl,1,0,1,canonical;synonym,matched NCBI Homo sapiens Symbol;matched a unique NCBI Homo sapiens synonym,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
